Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Height_mean,Depth_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,EV_filename,Noise_Sv_1m,Minimum_Sv_threshold_applied,Maximum_Sv_threshold_applied,Standard_deviation,Corrected_length,Corrected_thickness,3D_school_volume,ABC,Area_Backscatter_Strength,Species_Id,Species_name,Species_percent,Species_TS,Species_weight,Density_number,Density_weight,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean
99,"GRID_A_N_5_13_01","North Grid",248,-79.532025,25.612952,53.354405,35.681406,23928,24457,34.152237,20110513, 14:29:55.3300,48.14924337,-122.68581979,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.13_c.EV",-999.000000,1,1,0.00000033077942,-9999.000000,199.461887,-9999.000000,0.00000059424811,-62.2603219281,0,"Unassigned",100.000000,-40.000000,1.000000,20382.139863,20382.139863,53.354405,32.681406,58.579492,3.750000
101,"GRID_A_N_5_13_0","North Grid",248,-76.410140,48.404821,49.137241,34.687993,24526,24875,34.986311,20110513, 14:38:27.3670,48.15090247,-122.68751858,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.13_c.EV",-999.000000,1,1,0.00000086626138,-9999.000000,199.461887,-9999.000000,0.00000112304403,-59.4960321523,0,"Unassigned",100.000000,-40.000000,1.000000,38519.332709,38519.332709,49.137241,31.687993,54.940710,3.750000
103,"GRID_A_N_5_13_03","North Grid",248,-81.230294,16.219813,49.955511,37.047734,24997,25533,35.989017,20110513, 14:48:01.5180,48.15244406,-122.69050137,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.13_c.EV",-999.000000,1,1,0.00000014356887,-9999.000000,199.461887,-9999.000000,0.00000037631716,-64.2444598169,0,"Unassigned",100.000000,-40.000000,1.000000,12907.317363,12907.317363,49.955511,34.047734,56.866468,3.750000
105,"GRID_A_N_5_13_04","North Grid",248,-81.273957,14.276287,44.413918,38.523074,25621,26060,36.937211,20110513, 14:57:40.6910,48.15486833,-122.69189000,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.13_c.EV",-999.000000,1,1,0.00000017309724,-9999.000000,199.461887,-9999.000000,0.00000033122524,-64.7987657155,0,"Unassigned",100.000000,-40.000000,1.000000,11360.708031,11360.708031,44.413918,35.523074,52.769675,3.750000
107,"GRID_A_N_5_13_05","North Grid",248,-83.405550,9.255536,47.039720,41.835364,26163,26702,38.004126,20110513, 15:07:42.8980,48.15569486,-122.69507778,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.13_c.EV",-999.000000,1,1,0.00000005866399,-9999.000000,199.461887,-9999.000000,0.00000021473842,-66.6809024448,0,"Unassigned",100.000000,-40.000000,1.000000,7365.321788,7365.321788,47.039720,38.835364,57.222404,3.750000
109,"GRID_A_N_5_13_06","North Grid",248,-79.028627,23.528317,43.647738,41.794329,26790,27321,39.074732,20110513, 15:18:19.1590,48.15829775,-122.69584087,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.13_c.EV",-999.000000,1,1,0.00000072785253,-9999.000000,199.461887,-9999.000000,0.00000054588233,-62.6290096375,0,"Unassigned",100.000000,-40.000000,1.000000,18723.240096,18723.240096,43.647738,38.794329,53.674131,3.750000
111,"GRID_A_N_5_13_07","North Grid",248,-79.717757,19.377389,42.128802,41.131099,27462,28129,40.441794,20110513, 15:30:48.6620,48.16211553,-122.69982011,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.13_c.EV",-999.000000,1,1,0.00000054455205,-9999.000000,199.461887,-9999.000000,0.00000044957631,-63.4719658464,0,"Unassigned",100.000000,-40.000000,1.000000,15420.035928,15420.035928,42.128802,38.131099,51.434727,3.750000
113,"GRID_A_N_5_13_08","North Grid",248,-79.754016,18.013057,39.490916,35.616693,28279,29075,41.984823,20110513, 15:45:46.4490,48.16634410,-122.70279305,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.13_c.EV",-999.000000,1,1,0.00000025388542,-9999.000000,199.461887,-9999.000000,0.00000041792234,-63.7890441658,0,"Unassigned",100.000000,-40.000000,1.000000,14334.335123,14334.335123,39.490916,32.616693,45.683362,3.750000
115,"GRID_A_N_5_13_09","North Grid",248,-73.203182,84.805545,41.138708,36.474307,29221,29984,43.658188,20110513, 16:01:25.3360,48.16897344,-122.70834100,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.13_c.EV",-999.000000,1,1,0.00000136005356,-9999.000000,199.461887,-9999.000000,0.00000196758007,-57.0606758410,0,"Unassigned",100.000000,-40.000000,1.000000,67486.108546,67486.108546,41.138708,33.474307,47.760196,3.750000
117,"GRID_A_N_5_13_10","North Grid",248,-79.034223,25.552425,47.463812,42.060098,30147,31019,45.371176,20110513, 16:17:58.3260,48.17268038,-122.71231359,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.13_c.EV",-999.000000,1,1,0.00000110427583,-9999.000000,199.461887,-9999.000000,0.00000059284381,-62.2705971049,0,"Unassigned",100.000000,-40.000000,1.000000,20333.973805,20333.973805,47.463812,39.060098,57.431662,3.750000
119,"GRID_A_N_5_13_11","North Grid",248,-81.254970,15.672160,48.543826,41.856310,31143,31926,47.063273,20110513, 16:34:08.2600,48.17529938,-122.71775616,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.13_c.EV",-999.000000,1,1,0.00000010514096,-9999.000000,199.461887,-9999.000000,0.00000036361100,-64.3936298660,0,"Unassigned",100.000000,-40.000000,1.000000,12471.508402,12471.508402,48.543826,38.856310,58.705122,3.750000
121,"GRID_A_N_5_13_12","North Grid",248,-76.998646,44.300248,51.496647,38.076798,32075,32961,48.792348,20110513, 16:50:50.2580,48.17861485,-122.72237155,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.13_c.EV",-999.000000,1,1,0.00000065518608,-9999.000000,199.461887,-9999.000000,0.00000102781351,-59.8808567604,0,"Unassigned",100.000000,-40.000000,1.000000,35253.017306,35253.017306,51.496647,35.076798,57.804093,3.750000
